# freq,|S21|,Phase
3.370000000000000000e+07,9.720830000000000304e-01,8.101709999999999923e+01
3.385000000000000000e+07,9.708689999999999820e-01,8.073499999999999943e+01
3.400000000000000000e+07,9.706540000000000168e-01,8.059189999999999543e+01
3.415000000000000000e+07,9.717540000000000067e-01,8.026279999999999859e+01
3.430000000000000000e+07,9.722089999999999899e-01,8.007110000000000127e+01
3.445000000000000000e+07,9.712490000000000290e-01,7.978730000000000189e+01
3.460000000000000000e+07,9.710839999999999472e-01,7.959980000000000189e+01
3.475000000000000000e+07,9.713289999999999980e-01,7.930150000000000432e+01
3.490000000000000000e+07,9.719799999999999551e-01,7.899920000000000186e+01
3.505000000000000000e+07,9.725380000000000136e-01,7.877389999999999759e+01
3.520000000000000000e+07,9.713169999999999860e-01,7.860169999999999391e+01
3.535000000000000000e+07,9.715939999999999577e-01,7.836679999999999779e+01
3.550000000000000000e+07,9.713300000000000267e-01,7.811440000000000339e+01
3.565000000000000000e+07,9.718099999999999516e-01,7.785550000000000637e+01
3.580000000000000000e+07,9.712279999999999802e-01,7.759390000000000498e+01
3.595000000000000000e+07,9.697550000000000336e-01,7.733809999999999718e+01
3.610000000000000000e+07,9.726019999999999666e-01,7.718340000000000600e+01
3.625000000000000000e+07,9.716599999999999682e-01,7.683780000000000143e+01
3.640000000000000000e+07,9.712309999999999555e-01,7.668049999999999500e+01
3.655000000000000000e+07,9.697029999999999816e-01,7.638729999999999620e+01
3.670000000000000000e+07,9.706890000000000240e-01,7.616849999999999454e+01
3.685000000000000000e+07,9.703439999999999843e-01,7.596250000000000568e+01
3.700000000000000000e+07,9.701729999999999521e-01,7.574150000000000205e+01
3.715000000000000000e+07,9.706360000000000543e-01,7.556459999999999866e+01
3.730000000000000000e+07,9.701159999999999783e-01,7.522849999999999682e+01
3.745000000000000000e+07,9.690029999999999477e-01,7.503260000000000218e+01
3.760000000000000000e+07,9.701929999999999721e-01,7.481759999999999877e+01
3.775000000000000000e+07,9.713100000000000067e-01,7.459990000000000521e+01
3.790000000000000000e+07,9.703239999999999643e-01,7.431589999999999918e+01
3.805000000000000000e+07,9.695259999999999989e-01,7.406069999999999709e+01
3.820000000000000000e+07,9.699560000000000404e-01,7.378050000000000352e+01
3.835000000000000000e+07,9.698039999999999994e-01,7.366599999999999682e+01
3.850000000000000000e+07,9.709659999999999958e-01,7.339119999999999777e+01
3.865000000000000000e+07,9.700879999999999503e-01,7.317870000000000630e+01
3.880000000000000000e+07,9.697949999999999626e-01,7.295090000000000430e+01
3.895000000000000000e+07,9.707609999999999850e-01,7.276579999999999870e+01
3.910000000000000000e+07,9.706470000000000375e-01,7.254210000000000491e+01
3.925000000000000000e+07,9.705920000000000103e-01,7.232370000000000232e+01
3.940000000000000000e+07,9.708099999999999508e-01,7.206239999999999668e+01
3.955000000000000000e+07,9.711750000000000105e-01,7.189669999999999561e+01
3.970000000000000000e+07,9.710060000000000358e-01,7.167180000000000462e+01
3.985000000000000000e+07,9.700729999999999631e-01,7.146959999999999980e+01
4.000000000000000000e+07,9.700419999999999598e-01,7.123789999999999623e+01
4.015000000000000000e+07,9.716029999999999944e-01,7.103509999999999991e+01
4.030000000000000000e+07,9.703260000000000218e-01,7.080979999999999563e+01
4.045000000000000000e+07,9.700839999999999463e-01,7.054930000000000234e+01
4.060000000000000000e+07,9.709839999999999582e-01,7.041410000000000480e+01
4.075000000000000000e+07,9.705040000000000333e-01,7.018829999999999814e+01
4.090000000000000000e+07,9.700229999999999686e-01,7.002139999999999986e+01
4.105000000000000000e+07,9.710490000000000510e-01,6.973069999999999879e+01
4.120000000000000000e+07,9.694380000000000219e-01,6.955889999999999418e+01
4.135000000000000000e+07,9.694800000000000084e-01,6.941330000000000666e+01
4.150000000000000000e+07,9.692319999999999824e-01,6.917010000000000502e+01
4.165000000000000000e+07,9.704840000000000133e-01,6.903539999999999566e+01
4.180000000000000000e+07,9.703530000000000211e-01,6.876909999999999457e+01
4.195000000000000000e+07,9.694500000000000339e-01,6.858639999999999759e+01
4.210000000000000000e+07,9.687489999999999712e-01,6.827469999999999573e+01
4.225000000000000000e+07,9.698839999999999684e-01,6.812569999999999482e+01
4.240000000000000000e+07,9.703300000000000258e-01,6.797360000000000468e+01
4.255000000000000000e+07,9.694509999999999517e-01,6.784449999999999648e+01
4.270000000000000000e+07,9.701079999999999703e-01,6.760599999999999454e+01
4.285000000000000000e+07,9.698529999999999651e-01,6.739879999999999427e+01
4.300000000000000000e+07,9.686350000000000238e-01,6.722639999999999816e+01
4.315000000000000000e+07,9.690710000000000157e-01,6.696630000000000393e+01
4.330000000000000000e+07,9.685510000000000508e-01,6.671129999999999427e+01
4.345000000000000000e+07,9.700010000000000021e-01,6.659610000000000696e+01
4.360000000000000000e+07,9.681469999999999798e-01,6.640860000000000696e+01
4.375000000000000000e+07,9.690280000000000005e-01,6.609430000000000405e+01
4.390000000000000000e+07,9.691920000000000535e-01,6.603470000000000084e+01
4.405000000000000000e+07,9.701229999999999576e-01,6.579359999999999786e+01
4.420000000000000000e+07,9.678579999999999961e-01,6.555459999999999354e+01
4.435000000000000000e+07,9.692859999999999809e-01,6.537460000000000093e+01
4.450000000000000000e+07,9.695409999999999862e-01,6.519490000000000407e+01
4.465000000000000000e+07,9.677000000000000046e-01,6.498860000000000525e+01
4.480000000000000000e+07,9.697080000000000144e-01,6.485150000000000148e+01
4.495000000000000000e+07,9.700860000000000039e-01,6.458499999999999375e+01
4.510000000000000000e+07,9.702349999999999586e-01,6.448269999999999413e+01
4.525000000000000000e+07,9.692159999999999664e-01,6.425109999999999388e+01
4.540000000000000000e+07,9.685040000000000315e-01,6.404619999999999891e+01
4.555000000000000000e+07,9.696399999999999464e-01,6.396730000000000160e+01
4.570000000000000000e+07,9.689320000000000155e-01,6.361860000000000070e+01
4.585000000000000000e+07,9.702290000000000081e-01,6.353399999999999892e+01
4.600000000000000000e+07,9.697559999999999514e-01,6.341640000000000299e+01
4.615000000000000000e+07,9.694139999999999979e-01,6.320219999999999771e+01
4.630000000000000000e+07,9.700370000000000381e-01,6.291940000000000310e+01
4.645000000000000000e+07,9.692800000000000304e-01,6.278090000000000259e+01
4.660000000000000000e+07,9.692650000000000432e-01,6.268569999999999709e+01
4.675000000000000000e+07,9.697580000000000089e-01,6.253979999999999961e+01
4.690000000000000000e+07,9.686310000000000198e-01,6.227270000000000039e+01
4.705000000000000000e+07,9.693559999999999954e-01,6.217799999999999727e+01
4.720000000000000000e+07,9.704099999999999948e-01,6.203499999999999659e+01
4.735000000000000000e+07,9.705470000000000486e-01,6.184340000000000259e+01
4.750000000000000000e+07,9.696890000000000231e-01,6.163250000000000028e+01
4.765000000000000000e+07,9.672809999999999464e-01,6.147999999999999687e+01
4.780000000000000000e+07,9.685279999999999445e-01,6.125580000000000069e+01
4.795000000000000000e+07,9.679830000000000378e-01,6.105749999999999744e+01
4.810000000000000000e+07,9.695350000000000357e-01,6.094720000000000226e+01
4.825000000000000000e+07,9.692140000000000200e-01,6.077839999999999776e+01
4.840000000000000000e+07,9.684180000000000010e-01,6.069539999999999935e+01
4.855000000000000000e+07,9.682260000000000311e-01,6.044919999999999760e+01
4.870000000000000000e+07,9.686259999999999870e-01,6.022959999999999781e+01
4.885000000000000000e+07,9.689940000000000220e-01,6.019120000000000203e+01
4.900000000000000000e+07,9.689109999999999667e-01,6.005630000000000024e+01
4.915000000000000000e+07,9.697740000000000249e-01,5.984089999999999776e+01
4.930000000000000000e+07,9.678020000000000511e-01,5.965129999999999910e+01
4.945000000000000000e+07,9.678909999999999458e-01,5.952270000000000039e+01
4.960000000000000000e+07,9.701450000000000351e-01,5.945400000000000063e+01
4.975000000000000000e+07,9.688520000000000465e-01,5.911260000000000048e+01
4.990000000000000000e+07,9.685449999999999893e-01,5.903549999999999898e+01
5.005000000000000000e+07,9.704380000000000228e-01,5.885669999999999646e+01
5.020000000000000000e+07,9.694739999999999469e-01,5.878079999999999927e+01
5.035000000000000000e+07,9.696399999999999464e-01,5.851259999999999906e+01
5.050000000000000000e+07,9.702009999999999801e-01,5.829359999999999786e+01
5.065000000000000000e+07,9.688670000000000337e-01,5.820300000000000296e+01
5.080000000000000000e+07,9.708809999999999940e-01,5.807529999999999859e+01
5.095000000000000000e+07,9.705000000000000293e-01,5.798749999999999716e+01
5.110000000000000000e+07,9.697599999999999554e-01,5.785549999999999926e+01
5.125000000000000000e+07,9.697029999999999816e-01,5.754970000000000141e+01
5.140000000000000000e+07,9.702509999999999746e-01,5.746860000000000213e+01
5.155000000000000000e+07,9.704129999999999701e-01,5.734179999999999922e+01
5.170000000000000000e+07,9.686540000000000150e-01,5.715189999999999770e+01
5.185000000000000000e+07,9.699229999999999796e-01,5.704840000000000089e+01
5.200000000000000000e+07,9.704720000000000013e-01,5.681730000000000302e+01
5.215000000000000000e+07,9.693089999999999762e-01,5.669440000000000168e+01
5.230000000000000000e+07,9.699130000000000251e-01,5.650809999999999889e+01
5.245000000000000000e+07,9.711189999999999545e-01,5.635510000000000019e+01
5.260000000000000000e+07,9.697289999999999521e-01,5.630700000000000216e+01
5.275000000000000000e+07,9.689250000000000362e-01,5.609969999999999857e+01
5.290000000000000000e+07,9.687630000000000408e-01,5.595900000000000318e+01
5.305000000000000000e+07,9.692870000000000097e-01,5.600339999999999918e+01
5.320000000000000000e+07,9.700020000000000309e-01,5.562319999999999709e+01
5.335000000000000000e+07,9.694460000000000299e-01,5.541510000000000247e+01
5.350000000000000000e+07,9.698470000000000146e-01,5.532169999999999987e+01
5.365000000000000000e+07,9.682950000000000168e-01,5.515209999999999724e+01
5.380000000000000000e+07,9.682330000000000103e-01,5.504229999999999734e+01
5.395000000000000000e+07,9.705289999999999750e-01,5.486229999999999762e+01
5.410000000000000000e+07,9.691199999999999815e-01,5.469919999999999760e+01
5.425000000000000000e+07,9.720029999999999504e-01,5.454299999999999926e+01
